Business Unit,Division,Family,Product,Product Description,UoM,Orderable UoM,Barcode (GTIN)
Coronary,Accessories,Accessories,22295,+ACI-Guide Wire Accessory Kit includes Rotating Hemostatic Valve .096+ACIAIg- Guide Wire Introducer / Torque Device+ACI-,EA,1,08717648013331
Coronary,Accessories,Copilot,1003327,COPILOT+AK4- Kit includes Bleedback Control Valve 20/30 INDEFLATOR+AK4- Inflation Device 30 atm 20 cc/Guide Wire Introducer/Torque Device,EA,1,08717648013973
Coronary,Accessories,Copilot,1003330,COPILOT+AK4- Kit includes Bleedback Control Valve/Guide Wire Introducer/Torque Device,EA,1,08717648013980
Coronary,Accessories,Copilot,1003331,COPILOT+ISI- Bleedback Control Valve,EA,1,08717648013997
Coronary,Accessories,Indeflator,1000183,INDEFLATOR PLUS+AK4- 30 Inflation Device 30 atm 10 cc,EA,1,08717648013584
Coronary,Accessories,Indeflator,1000184,20/30 INDEFLATOR+AK4- Inflation Device 30 atm 20 cc,EA,1,08717648013591
Coronary,Accessories,Indeflator,1000185,+ACI-PLUS 30 PRIORITY PACK Accessory Kit includes INDEFLATOR PLUS+AK4- 30 Inflation Device 30 atm 10 cc / Rotating Hemostatic Valve .096 +ACIAIg- / Guide Wire Introducer / Torque Device+ACI-,EA,1,08717648013607
Coronary,Accessories,Indeflator,1000186,+ACI-20/30 PRIORITY PACK Accessory Kit includes INDEFLATOR+AK4- Inflation Device 30 atm 20 cc / Rotating Hemostatic Valve .096 +ACIAIg- / Guide Wire Introducer / Torque Device+ACI-,EA,1,08717648013614
Coronary,Accessories,Indeflator,1000185-115,+ACI-PLUS 30 PRIORITY PACK Accessory Kit INDEFLATOR PLUS+AK4- 30 Inflation Device 30 atm 10 cc / R otating Hemostatic Valve .115 +ACIAIg- / Guide Wire Introducer / Torque Device+ACI-,EA,1,08717648015267
Coronary,Accessories,Indeflator,1000186-115,+ACI-20/30 PRIORITY PACK Accessory Kit includes INDEFLATOR+AK4- Inflation Device 30 atm 20 cc / Rotating Hemostatic Valve .115 +ACIAIg- / Guide Wire Introducer / Torque Device+ACI-,EA,1,08717648015274
Coronary,Accessories,Introducer,22290,Guide Wire Introducer,PCK,1,28717648013328
Coronary,Accessories,Introducer,22290,Guide Wire Introducer,EA,Reference Only,08717648013324
Coronary,Accessories,RHV,23242,+ACI-Rotating Hemostatic Valve .096+ACIAIgAi-,EA,1,08717648013362
Coronary,Accessories,RHV,23245,+ACI-Rotating Hemostatic Valve .115+ACIAIgAi-,EA,1,08717648013386
Coronary,Accessories,RHV,22295-115,+ACI-Guide Wire Accessory Kit includes Rotating Hemostatic Valve .115 +ACIAIg- / Guide Wire Introducer / Torque Device+ACI-,EA,1,08717648079627
Coronary,Accessories,Torque Device,22215,Torque Device,EA,Reference Only,08717648013294
Coronary,Accessories,Torque Device,22215,Torque Device,PCK,1,28717648013298
Coronary,Dilatation,NC TREK,1012432-06,NC TREK Coronary Dilatation Catheter 1.50 mm x 6 mm / Over-The-Wire,EA,1,08717648150975
Coronary,Dilatation,NC TREK,1012432-08,NC TREK Coronary Dilatation Catheter 1.50 mm x 8 mm / Over-The-Wire,EA,1,08717648150982
Coronary,Dilatation,NC TREK,1012432-12,NC TREK Coronary Dilatation Catheter 1.50 mm x 12 mm / Over-The-Wire,EA,1,08717648150999
Coronary,Dilatation,NC TREK,1012432-15,NC TREK Coronary Dilatation Catheter 1.50 mm x 15 mm / Over-The-Wire,EA,1,08717648151002
Coronary,Dilatation,NC TREK,1012432-20,NC TREK Coronary Dilatation Catheter 1.50 mm x 20 mm / Over-The-Wire,EA,1,08717648151019
Coronary,Dilatation,NC TREK,1012433-06,NC TREK Coronary Dilatation Catheter 2.00 mm x 6 mm / Over-The-Wire,EA,1,08717648151026
Coronary,Dilatation,NC TREK,1012433-08,NC TREK Coronary Dilatation Catheter 2.00 mm x 8 mm / Over-The-Wire,EA,1,08717648151033
Coronary,Dilatation,NC TREK,1012433-12,NC TREK Coronary Dilatation Catheter 2.00 mm x 12 mm / Over-The-Wire,EA,1,08717648151040
Coronary,Dilatation,NC TREK,1012433-15,NC TREK Coronary Dilatation Catheter 2.00 mm x 15 mm / Over-The-Wire,EA,1,08717648151057
Coronary,Dilatation,NC TREK,1012433-20,NC TREK Coronary Dilatation Catheter 2.00 mm x 20 mm / Over-The-Wire,EA,1,08717648151064
Coronary,Dilatation,NC TREK,1012434-06,NC TREK Coronary Dilatation Catheter 2.25 mm x 6 mm / Over-The-Wire,EA,1,08717648151071
Coronary,Dilatation,NC TREK,1012434-08,NC TREK Coronary Dilatation Catheter 2.25 mm x 8 mm / Over-The-Wire,EA,1,08717648151088
Coronary,Dilatation,NC TREK,1012434-12,NC TREK Coronary Dilatation Catheter 2.25 mm x 12 mm / Over-The-Wire,EA,1,08717648151095
Coronary,Dilatation,NC TREK,1012434-15,NC TREK Coronary Dilatation Catheter 2.25 mm x 15 mm / Over-The-Wire,EA,1,08717648151101
Coronary,Dilatation,NC TREK,1012434-20,NC TREK Coronary Dilatation Catheter 2.25 mm x 20 mm / Over-The-Wire,EA,1,08717648151118
Coronary,Dilatation,NC TREK,1012435-06,NC TREK Coronary Dilatation Catheter 2.50 mm x 6 mm / Over-The-Wire,EA,1,08717648151132
Coronary,Dilatation,NC TREK,1012435-08,NC TREK Coronary Dilatation Catheter 2.50 mm x 8 mm / Over-The-Wire,EA,1,08717648151149
Coronary,Dilatation,NC TREK,1012435-12,NC TREK Coronary Dilatation Catheter 2.50 mm x 12 mm / Over-The-Wire,EA,1,08717648151156
Coronary,Dilatation,NC TREK,1012435-15,NC TREK Coronary Dilatation Catheter 2.50 mm x 15 mm / Over-The-Wire,EA,1,08717648151163
Coronary,Dilatation,NC TREK,1012435-20,NC TREK Coronary Dilatation Catheter 2.50 mm x 20 mm / Over-The-Wire,EA,1,08717648151170
Coronary,Dilatation,NC TREK,1012435-25,NC TREK Coronary Dilatation Catheter 2.50 mm x 25 mm / Over-The-Wire,EA,1,08717648151187
Coronary,Dilatation,NC TREK,1012436-06,NC TREK Coronary Dilatation Catheter 2.75 mm x 6 mm / Over-The-Wire,EA,1,08717648151194
Coronary,Dilatation,NC TREK,1012436-08,NC TREK Coronary Dilatation Catheter 2.75 mm x 8 mm / Over-The-Wire,EA,1,08717648151200
Coronary,Dilatation,NC TREK,1012436-12,NC TREK Coronary Dilatation Catheter 2.75 mm x 12 mm / Over-The-Wire,EA,1,08717648151217
Coronary,Dilatation,NC TREK,1012436-15,NC TREK Coronary Dilatation Catheter 2.75 mm x 15 mm / Over-The-Wire,EA,1,08717648151224
Coronary,Dilatation,NC TREK,1012436-20,NC TREK Coronary Dilatation Catheter 2.75 mm x 20 mm / Over-The-Wire,EA,1,08717648151231
